problem,solution,answer,problem_type
"具有“滋阴泻火”之功的方剂是:

A.六味地黄丸
B.知柏地黄丸
C.杞菊地黄丸
D.麦味地黄丸",$B$,B,single_choice
"大蓟炒炭后的作用是 。

A.增强收敛止血作用
B.增强祛风理血作用
C.增强健胃消食作用
D.增强固肠止泻作用
E.增强补脾健胃作用",$A$,A,single_choice
"治疗厌食脾失健运证的首选方剂是

A.不换金正气散
B.保和丸
C.健脾丸
D.异功散
E.平胃散",$A$,A,single_choice
"黄疸的基本治疗原则是什么

A.化湿邪，利小便
B.清热利湿通腑
C.温中化湿淡渗
D.清热解毒、凉营开窍",$A$,A,single_choice
"“利小便即所以实大便”的理论依据是

A.肾司二便，故利小便即可实大便
B.中气不足，溲便为之变，故二便相关
C.淡渗利水，则脾阳得健而大便实
D.二便之源均来自小肠的泌别清浊
E.利小便的药物本身具有止泻作用",$D$,D,single_choice
"板蓝根颗粒的功能是

A.清肝胆，利湿热
B.散风清热，泻火止痛
C.化瘀凉血止血
D.清热解毒，凉血利咽
E.散风止痛",$D$,D,single_choice
"“受盛之官”指的是

A.小肠
B.大肠
C.膀胱
D.胆
E.胃",$A$,A,single_choice
"下列哪项一般不属于肝胃不和证的表现？

A.脘胁胀痛
B.抑郁不乐
C.呃逆嗳气
D.腹胀便溏
E.嘈杂吞酸",$D$,D,single_choice
"川芎茶调散的配伍组成错误的是

A.川芎为君药，活血行气，祛风止痛
B.羌活祛风邪，散寒湿，为臣药
C.白芷辛散温燥、芳香开窍，为臣药
D.荆芥、防风为佐药
E.薄荷、细辛为臣药",$E$,E,single_choice
"中国第一部药典专著是

A.《新修本草》
B.《神农本草经》
C.《证类本草》
D.《本草纲目》",$A$,A,single_choice
"头晕耳鸣，遗精健忘，腰膝酸软者属(    )

A.肝阳上亢
B.气血两亏
C.肾精亏虚
D.脾气亏虚
E.以上都不是",$C$,C,single_choice
"血虚证的临床表现是

A.少气懒言，疲倦乏力
B.潮热盗汗，舌红少苔
C.面色苍白，唇色淡白
D.痛如针刺，固定不移
E.恶风自汗，畏寒肢冷",$C$,C,single_choice
"喜、怒、忧、思、恐等情志活动失调均可化火, 故称为

A.五气化火
B.五志化火
C.心火上炎
D.肝郁化火",$B$,B,single_choice
"症见寒热往来，胸胁苦满，不欲饮食，口苦咽干，舌苔薄白，脉弦，治宜可选用的治法是

A.汗法
B.和法
C.温法
D.消法
E.补法",$E$,E,single_choice
"可水解鞣质主要分为两类，分别是 。

A.麝香
B.蟾酥
C.水蛭
D.牛膝
E.斑蝥",$C$,C,single_choice
"按中医治疗学分类，属于对病证功效的是 。

A.平喘
B.止痛
C.开窍
D.利胆退黄
E.涩肠止泻",$D$,D,single_choice
"下列哪项是辨别真实假虚的主要依据：（         ）

A.默默不语，语则声高
B.形体赢瘦，腹满拒按
C.倦怠懒动，动之觉舒
D.稀便少许，气臭不爽
E.脉象沉细，按之有力",$E$,E,single_choice
"下列哪些是疠气的致病特点

A.传染性强,易于流行
B.发病急骤,病情危笃
C.一气一病,症状相似
D.转化性
E.地区性",$A$,A,single_choice
"升降浮沉指药物在人体的作用趋向，以下关于此说法正确的是 。

A.这种趋向与治疗疾病的病势趋向相同，与病位相反
B.这种趋向与治疗疾病的病势趋向相反，与病位相反
C.这种趋向与治疗疾病的病势趋向相反，与病位相同
D.这种趋向与治疗疾病的病势趋向相同，与病位相同
E.这种趋向与治疗疾病的病势趋向无关，与病位有关",$C$,C,single_choice
"具有较强肾毒性的有机酸类化合物是 。

A.咖啡酸
B.阿魏酸
C.芥子酸
D.马兜铃酸
E.桂皮酸",$D$,D,single_choice
"可用于治疗火热内盛所致的口舌生疮、咽喉肿痛的是

A.牛黄解毒胶囊
B.黛蛤散
C.导赤丸
D.龙胆泻肝丸
E.西黄丸",$A$,A,single_choice
"可治疗痰湿凝滞所致的瘰疬的是

A.内消瘰疬丸
B.消银颗粒
C.马应龙麝香痔疮膏
D.消风止痒颗粒
E.地榆槐角丸",$A$,A,single_choice
"失眠患者耳穴埋籽不适合选

A.神门
B.皮质下（脑）
C.肺
D.肾",$D$,D,single_choice
"硬胶囊壳中不需添加的是 。

A.崩解剂
B.增稠剂
C.遮光剂
D.着色剂
E.防腐剂",$A$,A,single_choice
"“因时制宜”原则是指

A.夏季慎用温热
B.冬季慎用寒凉
C.暑邪致病应解暑化湿
D.秋季外感宜辛温发散
E.冬季宜食热性食物",$C$,C,single_choice
"手少阳三焦经分布在

A.上肢内侧前缘
B.上肢外侧后缘
C.上肢内侧后缘
D.上肢外侧前缘
E.上肢外侧中线",$E$,E,single_choice
"“纯阳之体”是哪本书的观点？

A.《颅囟经》
B.《内经》
C.《金匮要略》
D.《小儿药证直诀》",$D$,D,single_choice
"以下关于六腑的描述，说法正确的有

A.大肠主津，小肠主液
B.三焦又称“孤府”，脑为“元神之府”
C.胆本身没有传化饮食物的生理功能
D.女子月经与冲任二脉有关
E.五脏、六腑是阴阳表里的关系，其中脏属阴、腑属阳",$D$,D,single_choice
"麻仁胶囊中重用的药物是

A.厚朴
B.生姜
C.甘草
D.火麻仁
E.大黄",$D$,D,single_choice
"急躁易怒主要与下列哪项功能失调有关

A.魂不守舍
B.髓海空虚
C.肝血不足
D.肝升太过
E.心神失养",$D$,D,single_choice
"当归的采收加工方法为 。

A.晒干
B.发汗
C.烘干
D.暴晒
E.熏干",$E$,E,single_choice
"面黑齿长而垢，上下不通的病机 是

A.太阳之脉终绝
B.少阴之脉终绝
C.少阳之脉终绝
D.厥阴之脉终绝",$B$,B,single_choice
"两药联用降低疗效的配伍关系是

A.相反
B.相恶
C.相杀
D.相须
E.单行",$B$,B,single_choice
"甲型强心苷和乙型强心苷的分类依据是 。

A.C-22不饱和内酯环的不同
B.C-17不饱和内酯环的不同
C.连接糖的个数不同
D.稠和方式不同
E.对心脏是否有显著活性",$B$,B,single_choice
"阴和阳的相对属性引入于医学领域，下列属阴的功能是

A.推动
B.温煦
C.兴奋
D.滋润
E.上升",$D$,D,single_choice
